risk_id,framework_id,framework,framework_role,item_id,item_name,match
MR-063,iso_42001,ISO 42001,source,A.3.2,ISO/IEC 42001 Annex A A.3.2,clear
MR-063,iso_42001,ISO 42001,source,A.4.2,ISO/IEC 42001 Annex A A.4.2,clear
MR-063,eu_ai_act,EU AI Act,source,Art. 26(8),Art. 26(8),clear
MR-063,eu_ai_act,EU AI Act,source,Art. 49,Art. 49,clear
MR-064,iso_42001,ISO 42001,source,A.10.3,ISO/IEC 42001 Annex A A.10.3,clear
MR-064,iso_42001,ISO 42001,source,A.4.2,ISO/IEC 42001 Annex A A.4.2,clear
MR-064,nist_genai,NIST GenAI,crosscheck,GENAI.12,Value Chain and Component Integration,clear
MR-065,iso_42001,ISO 42001,source,A.10.3,ISO/IEC 42001 Annex A A.10.3,clear
MR-065,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-065,eu_ai_act,EU AI Act,source,CoP S&S Ch. Commitments 1-10,CoP S&S Ch. Commitments 1-10,clear
MR-065,eu_ai_act,EU AI Act,source,CoP Transparency Ch. Commitment 1,CoP Transparency Ch. Commitment 1,clear
MR-066,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-066,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-066,ibm_atlas,IBM,crosscheck,ibm-mitigation-and-maintenance,Mitigation and maintenance,partial
MR-067,iso_42001,ISO 42001,source,A.5.2,ISO/IEC 42001 Annex A A.5.2,clear
MR-067,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-067,eu_ai_act,EU AI Act,source,Art. 27,Art. 27,clear
MR-067,ibm_atlas,IBM,crosscheck,ibm-impact-on-affected-communities,Impact on affected communities,partial
MR-068,iso_42001,ISO 42001,source,A.3.3,ISO/IEC 42001 Annex A A.3.3,clear
MR-068,iso_42001,ISO 42001,source,A.8.3,ISO/IEC 42001 Annex A A.8.3,clear
MR-068,iso_42001,ISO 42001,source,A.8.4,ISO/IEC 42001 Annex A A.8.4,clear
MR-068,eu_ai_act,EU AI Act,source,Art. 26(5),Art. 26(5),clear
MR-068,eu_ai_act,EU AI Act,source,Art. 72,Art. 72,clear
MR-068,eu_ai_act,EU AI Act,source,Art. 73,Art. 73,clear
MR-068,eu_ai_act,EU AI Act,source,CoP S&S Ch. Commitment 9,CoP S&S Ch. Commitment 9,clear
MR-069,iso_42001,ISO 42001,source,A.6.2.8,ISO/IEC 42001 Annex A A.6.2.8,clear
MR-069,eu_ai_act,EU AI Act,source,Art. 12,Art. 12,clear
MR-069,eu_ai_act,EU AI Act,source,Art. 26(6),Art. 26(6),clear
MR-070,iso_42001,ISO 42001,source,A.4.6,ISO/IEC 42001 Annex A A.4.6,clear
MR-070,iso_42001,ISO 42001,source,A.6,ISO/IEC 42001 Annex A A.6,clear
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0053,AI Agent Tool Invocation,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0080,AI Agent Context Poisoning,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0080.000,Memory,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0080.001,Thread,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0081,Modify AI Agent Configuration,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0082,RAG Credential Harvesting,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0083,Credentials from AI Agent Configuration,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0086,Exfiltration via AI Agent Tool Invocation,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0098,AI Agent Tool Credential Harvesting,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0099,AI Agent Tool Data Poisoning,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0100,AI Agent Clickbait,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0101,Data Destruction via AI Agent Tool Invocation,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0103,Deploy AI Agent,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0108,AI Agent,sub
MR-071,mitre_atlas,MITRE ATLAS,source,AML.T0110,AI Agent Tool Poisoning,sub
MR-071,ibm_atlas,IBM,crosscheck,ibm-exploit-trust-mismatch,Exploit trust mismatch,clear
MR-071,ibm_atlas,IBM,crosscheck,ibm-unauthorized-use,Unauthorized use,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-1.3.1,"Goal Manipulation (Models, Agents)",partial
MR-071,cisco,Cisco,crosscheck,AISubtech-1.3.2,"Goal Manipulation (Tools, Prompts, Resources)",partial
MR-071,cisco,Cisco,crosscheck,AISubtech-14.2.1,Permission Escalation via Delegation,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-3.1.2,Trusted Agent Spoofing,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.1.1,Rogue Agent Introduction,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.2.1,Context Window Exploitation,partial
MR-071,cisco,Cisco,crosscheck,AISubtech-4.2.2,Session Boundary Violation,partial
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.1,Schema Inconsistencies,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.2,Namespace Collision,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.3,Server Rebinding Attack,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.4,Replay Exploitation,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.5,Capability Inflation,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-4.3.6,Cross-Origin Exploitation,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-5.1.1,Long-term / Short-term Memory Injection,partial
MR-071,cisco,Cisco,crosscheck,AISubtech-5.2.1,Agent Profile Tampering,clear
MR-071,cisco,Cisco,crosscheck,AISubtech-7.2.1,Memory Anchor Attacks,partial
MR-071,cisco,Cisco,crosscheck,AISubtech-7.2.2,Memory Index Manipulation,partial
MR-071,cisco,Cisco,crosscheck,AISubtech-8.2.3,Data Exfiltration via Agent Tooling,clear
MR-071,nist_aml,NIST AML,crosscheck,NISTAML.039,Compromising connected resources,clear
MR-071,owasp_llm,OWASP LLM,crosscheck,LLM06:2025,Excessive Agency,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI01,Agent Goal Hijack,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI02,Tool Misuse and Exploitation,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI03,Identity and Privilege Abuse,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI04,Agentic Supply Chain Vulnerabilities,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI05,Unexpected Code Execution (RCE),clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI06,Memory and Context Poisoning,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI07,Insecure Inter-Agent Communication,clear
MR-071,owasp_asi,OWASP Agentic,crosscheck,ASI10,Rogue Agents,clear
MR-072,eu_ai_act,EU AI Act,source,Art. 27,Art. 27,clear
MR-073,eu_ai_act,EU AI Act,source,Art. 26(7),Art. 26(7),clear
MR-074,eu_ai_act,EU AI Act,source,Art. 26(8),Art. 26(8),clear
MR-074,eu_ai_act,EU AI Act,source,Art. 49,Art. 49,clear
MR-074,eu_ai_act,EU AI Act,source,Art. 71,Art. 71,clear
MR-075,eu_ai_act,EU AI Act,source,Art. 26(11),Art. 26(11),clear
MR-076,eu_ai_act,EU AI Act,source,Art. 26(5),Art. 26(5),clear
MR-076,eu_ai_act,EU AI Act,source,Art. 72,Art. 72,clear
MR-076,eu_ai_act,EU AI Act,source,Art. 73,Art. 73,clear
MR-077,eu_ai_act,EU AI Act,source,Art. 5,Art. 5,clear
MR-078,eu_ai_act,EU AI Act,source,Art. 50(3),Art. 50(3),clear
MR-078,eu_ai_act,EU AI Act,source,Art. 50(4),Art. 50(4),clear
MR-078,ibm_atlas,IBM,crosscheck,ibm-non-disclosure,Non-disclosure,clear
MR-079,eu_ai_act,EU AI Act,source,Art. 4,Art. 4,clear
MR-080,eu_ai_act,EU AI Act,source,"CoP GPAI Code of Practice, Transparency Chapter, Commitment 1 (Measures 1.1-1.3)","CoP GPAI Code of Practice, Transparency Chapter, Commitment 1 (Measures 1.1-1.3)",clear
MR-081,eu_ai_act,EU AI Act,source,"CoP GPAI Code of Practice, Copyright Chapter, Commitment 1 (Measures 1.1-1.5)","CoP GPAI Code of Practice, Copyright Chapter, Commitment 1 (Measures 1.1-1.5)",clear
MR-082,eu_ai_act,EU AI Act,source,"CoP GPAI Code of Practice, Safety and Security Chapter, Commitments 1-10","CoP GPAI Code of Practice, Safety and Security Chapter, Commitments 1-10",clear
