canonical_risk_id,row_type,name,description,risk_family,mit_domain,mit_subdomain,ai_type,scope_class,source_standard,source_frameworks,source_count,iso_references,eu_ai_act_articles,eu_cop_references,nearest_mit_risk,related_frameworks,parent_risk_id,atlas_technique_id,atlas_technique_name
MR-057,Risk,Multi-agent interaction risks,"Interactions among multiple AI agents cause miscoordination, collusion, cascading or destabilizing dynamics (e.g. flash crashes).",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.6 > Multi-agent risks,"Agentic, GPAI",Both,MIT AI Risk Repository v4,Anwar2024 | Everitt2018 | Gabriel2024 | Gipiškis2024 | Hammond2025 | Ji2023 | Saghiri2022 | Tse2025 | Uuk2025,9,"23894 obj A.9, A.10; src 8; mech B.2 | 42001 ctrl A.6.2.6",,,,OWASP Top 10 for Agentic Applications 2026 | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-058,Risk,Model performance drift and degradation over time,"Model performance degrades post-deployment due to data/concept drift, knowledge staleness, or catastrophic forgetting.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Gipiškis2024 | Hendrycks2023 | Liu2024 | Saghiri2022 | Schnitzer2024 | Zhang2022,6,"23894 obj A.7, A.9; src 8; mech B.8 | 42001 ctrl A.6.2.6",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-059,Risk,Poor data quality and representativeness,"Training/operational data is inaccurate, unrepresentative, mislabeled, contaminated, or poorly curated, undermining reliability.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",X.1 > Excluded,"GPAI, Classical_ML",Both,MIT AI Risk Repository v4,AIVerify2023 | Gipiškis2024 | IBM2025 | Schnitzer2024 | Teixeira2022,5,"23894 obj A.4; src 6; mech B.5 | 42001 ctrl A.7.4, A.7.6",Art. 10 | Art. 26(4),,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-060,Risk,Use outside intended scope,"The system is unintentionally applied outside its validated operating domain or intended purpose, producing unreliable or unsafe results.",Human & usage,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,"GPAI, Agentic, Classical_ML",Both,MIT AI Risk Repository v4,Critch2023 | GOS2023 | Stanley2024 | Tan2022 | Teixeira2022,5,"23894 obj A.9; src 7, 8; mech B.7 | 42001 ctrl A.9.4, A.6.2.2",Art. 26(1),,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-061,Risk,Over-refusal and excessive safety filtering,"Overly restrictive safety tuning causes the system to refuse benign requests, degrading utility.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,GPAI,System,MIT AI Risk Repository v4,Gipiškis2024,1,23894 obj A.9; src 7 | 42001 ctrl A.6.2.4,,,,ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-062,Risk,Shadow AI and unsanctioned use of AI tools,"Staff adopt and use AI tools or services outside sanctioned channels, so the deployer cannot inventory, secure, assess, or govern systems it does not know are in use.",Governance & process,n/a (ISO-derived),,"GPAI, Agentic, Classical_ML",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023,1,"42001 Annex A, A.2.2 and A.9.2",,,"MR-043 Inadequate AI governance and oversight: related but generic; it does not name the specific exposure of untracked, unsanctioned tool adoption by staff.",ISO/IEC 42001:2023,,,
MR-063,Risk,AI inventory blind spots,"The deployer lacks a complete, maintained inventory of the AI systems and components in use, so some systems sit outside monitoring, assessment, and control.",Governance & process,n/a (ISO-derived),,"GPAI, Agentic, Classical_ML",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023 | ISO/IEC 23894:2023,2,"42001 Annex A, A.4.2 and A.3.2; 23894 clause 6.3.1",Art. 26(8) | Art. 49,,MR-043 Inadequate AI governance: generic governance maturity; it does not name inventory completeness or discovery.,EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023,,,
MR-064,Risk,Embedded AI introduced through procurement,"AI capability enters the estate inside procured software, services, or product features rather than through a deliberate AI decision, and so bypasses assessment and controls.",Third party & supply chain,n/a (ISO-derived),,"GPAI, Classical_ML",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023,1,"42001 Annex A, A.10.3 and A.4.2",,,"MR-018 AI supply-chain and infrastructure vulnerabilities: security-focused, not the governance-visibility problem of embedded AI.",NIST AI 600-1 Generative AI Profile | ISO/IEC 42001:2023,,,
MR-065,Risk,Vendor model version churn and undisclosed updates,"A third-party model or service changes behavior through provider-side updates or version changes the deployer did not initiate and may not be notified of, silently shifting outputs and performance.",Third party & supply chain,n/a (ISO-derived),,"GPAI, Agentic",Both,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023 | ISO/IEC 23894:2023,2,"42001 Annex A, A.10.3 and A.6.2.6; 23894 clause 6.4.2.3 source area 10 and Annex B.7",,Transparency Ch. Commitment 1 | S&S Ch. Commitments 1-10,"MR-058 Model performance drift: drift is passive internal degradation, not a supplier-pushed change the deployer cannot control.",EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023,,,
MR-066,Risk,Change deployed without revalidation,"Updates to a model, prompt, configuration, or pipeline are released without regression testing against the prior baseline, introducing unintended deterioration in quality, safety, or fairness.",Governance & process,n/a (ISO-derived),,"GPAI, Classical_ML, Agentic",System,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023 | ISO/IEC 23894:2023,2,"42001 Annex A, A.6.2.4 and A.6.2.6; 23894 Annex B.7",,,"MR-046 Inadequate evaluation, testing and benchmarking: adjacent, but does not capture the change-triggered regression that revalidation prevents.",IBM AI Risk Atlas | ISO/IEC 42001:2023,,,
MR-067,Risk,Absence of AI impact assessment,"The deployer runs no defined process to evaluate and record the likely effects of an AI system on people, groups, and wider society throughout its life cycle.",Governance & process,n/a (ISO-derived),,"GPAI, Agentic, Classical_ML",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023,1,"42001 Annex A, A.5.2 to A.5.5",Art. 27,,"MR-043 Inadequate AI governance: generic; impact assessment is a specific, auditable, often legally required process.",EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023,,,
MR-068,Risk,Inadequate AI incident response and communication,"The deployer has no defined way to detect, triage, respond to, and communicate AI-related incidents and adverse impacts to affected parties and authorities, so harms persist and escalate.",Governance & process,n/a (ISO-derived),,"GPAI, Agentic, Classical_ML",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023,1,"42001 Annex A, A.8.3, A.8.4 and A.3.3",Art. 26(5) | Art. 72 | Art. 73,S&S Ch. Commitment 9,"MR-040 Regulatory non-compliance: overlaps on reporting obligations, but not the operational detect-respond-communicate capability.",EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023,,,
MR-069,Risk,"Inadequate logging, record-keeping and traceability","AI systems do not record sufficient event logs and decision records, so behavior cannot be reconstructed, audited, or investigated after the fact.",Governance & process,n/a (ISO-derived),,"GPAI, Agentic, Classical_ML",System,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023,1,"42001 Annex A, A.6.2.8",Art. 12 | Art. 26(6),,"MR-055 Lack of explainability: interpretability of a decision, not operational log capture and retention.",EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023,,,
MR-070,Risk,Inadequate AI decommissioning and retirement,"The deployer has no managed process for retiring or decommissioning AI systems and models, so deprecated or unsupported systems remain in use and accumulate risk and liability.",Governance & process,n/a (ISO-derived),,"GPAI, Classical_ML, Agentic",Organization,ISO/IEC 23894 + 42001 (gap analysis),ISO/IEC 42001:2023 | ISO/IEC 23894:2023,2,"23894 Annex B.7; 42001 Annex A, A.6 and A.4.6",,,MR-047 Vendor/model concentration / MR-058 drift: neither addresses end-of-life governance of an AI system.,ISO/IEC 42001:2023,,,
MR-071,Risk,Autonomous agent hijacking and excessive-agency abuse,"A deployed AI agent is hijacked (via injected instructions, poisoned context, or poisoned tools) and abuses its legitimate tool access and permissions to take harmful autonomous actions such as exfiltrating data, destroying data, harvesting credentials, or acting as command-and-control.",Security & adversarial,n/a (MITRE ATLAS-derived),,"Agentic, GPAI",Both,MITRE ATLAS v5.6.0 (gap analysis),MITRE ATLAS v5.6.0,1,,,,"MR-020 Insecure tool integration and MR-054 Loss of oversight: each covers a facet (the integration surface, the oversight failure) but not the combined excessive-agency action abuse.",OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | OWASP Top 10 for Agentic Applications 2026 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework,,,
MR-071.1,Sub-risk,Abuse of AI agent tool invocation,An attacker with access to an AI agent invokes the agent's tools to act on systems and data.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0053,AI Agent Tool Invocation
MR-071.2,Sub-risk,AI agent context poisoning,The context an agent's model relies on is manipulated to steer its decisions and actions.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0080,AI Agent Context Poisoning
MR-071.3,Sub-risk,Tampering with AI agent configuration,Agent configuration files are modified to enable malicious behavior or evade defenses.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0081,Modify AI Agent Configuration
MR-071.4,Sub-risk,RAG-based credential harvesting,Agent or LLM access to a RAG store is used to locate and harvest credentials.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0082,RAG Credential Harvesting
MR-071.5,Sub-risk,Credential theft from agent configuration,Credentials for other tools and services are read from an AI agent's configuration.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0083,Credentials from AI Agent Configuration
MR-071.6,Sub-risk,Data exfiltration through agent tool invocation,Write-capable agent tools are invoked to send data out of the environment.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0086,Exfiltration via AI Agent Tool Invocation
MR-071.7,Sub-risk,Agent-tool credential harvesting,Access to an agent is used to retrieve credentials held by its tools.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0098,AI Agent Tool Credential Harvesting
MR-071.8,Sub-risk,Poisoning of data agent tools retrieve,Malicious content is placed where an agent's tools will retrieve and act on it.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0099,AI Agent Tool Data Poisoning
MR-071.9,Sub-risk,Deceptive content baiting AI agents,Deceptive web or interface content baits computer-using agents into harmful actions.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0100,AI Agent Clickbait
MR-071.10,Sub-risk,Data destruction through agent tool invocation,Mutative agent tools are invoked to delete or destroy data.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0101,Data Destruction via AI Agent Tool Invocation
MR-071.11,Sub-risk,Adversary-deployed AI agent in the environment,An attacker launches AI agents inside the victim environment to act on their behalf.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0103,Deploy AI Agent
MR-071.12,Sub-risk,AI agent abused for command and control,An agent present on the system is abused as a command-and-control channel.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0108,AI Agent
MR-071.13,Sub-risk,Poisoning of AI agent tools,Tools used by agents (including built-ins) are poisoned to achieve persistence and control.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-071,AML.T0110,AI Agent Tool Poisoning
MR-072,Risk,Failure to conduct a fundamental rights impact assessment,"A deployer that is a public body, a private provider of public services, or a deployer of certain Annex III systems does not perform (or update, or notify the authority of) the required fundamental-rights impact assessment before putting a high-risk system into use.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Organization,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 27,,"MR-067 Absence of AI impact assessment (the ISO-derived process risk; Art. 27 is the specific fundamental-rights, public-service variant with a notification duty).",EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-073,Risk,Failure to inform workers before workplace deployment,A deployer that is an employer puts a high-risk system into use at work without first informing affected workers and their representatives that they will be subject to it.,Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Organization,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 26(7),,MR-040 Regulatory non-compliance (generic; the worker-information duty is not otherwise named).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-074,Risk,Failure to register a high-risk system or verify its registration,"A public-authority deployer does not meet its EU-database registration duty, or uses a high-risk system that the provider has not registered, instead of declining use and informing the provider.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Organization,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 26(8) | Art. 49 | Art. 71,,MR-063 AI inventory blind spots (internal visibility; Art. 26(8)/49 is the external regulatory registration duty).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-075,Risk,Failure to inform individuals subject to high-risk AI decisions,A deployer using a high-risk system that makes or assists decisions about people does not inform those individuals that they are subject to it.,Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Both,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 26(11),,"MR-055 Lack of explainability (interpretability of the decision, not the duty to notify the affected person).",EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-076,Risk,Failure to monitor operation and meet incident-reporting and suspension duties,"A deployer does not monitor a high-risk system in use against the instructions, fails to inform the provider and the market surveillance authority of an emerging risk or serious incident, or fails to suspend use when required.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Organization,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 26(5) | Art. 72 | Art. 73,,MR-068 Inadequate incident response (the org capability; Art. 26(5)/72/73 is the mandatory authority-reporting and suspension duty).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-077,Risk,Deploying or repurposing a system into a prohibited practice,"A deployer uses, or through repurposing or capability drift causes a system to fall into, a practice prohibited by the Act (for example manipulative or exploitative techniques, social scoring, untargeted facial scraping, or emotion inference at work).",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Both,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 5,,MR-060 Use outside intended scope / MR-040 Regulatory non-compliance (neither names the prohibited-practice categories).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-078,Risk,Failure to meet AI transparency and disclosure obligations,"A deployer does not inform people exposed to emotion-recognition or biometric-categorization systems, or does not disclose AI-generated or manipulated deepfake media and public-interest text as required.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic",Both,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 50(3) | Art. 50(4),,MR-055 Lack of explainability / MR-031 Deepfakes (neither names the Art. 50 disclosure duties).,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas,,,
MR-079,Risk,Non-compliance with the AI literacy obligation,A deployer does not take measures to ensure a sufficient level of AI literacy among the staff and others operating or using its AI systems on its behalf.,Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic, Classical_ML",Organization,EU AI Act 2024/1689 (gap analysis),EU AI Act 2024/1689,1,,Art. 4,,MR-048 AI competence and skills gaps (the capability gap; Art. 4 is the enforceable literacy duty for all deployers).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-080,Risk,Provider fails to supply adequate GPAI model documentation,"The provider of a procured GPAI model does not supply the model documentation and information the deployer needs, leaving the deployer unable to assess the model or to meet its own transparency and risk-assessment obligations.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic",Both,GPAI Code of Practice 2025 (gap analysis),GPAI Code of Practice 2025,1,,,"GPAI Code of Practice, Transparency Chapter, Commitment 1 (Measures 1.1-1.3)",MR-045 Insufficient documentation / MR-065 Vendor churn (deployer-side and change-side; not the provider documentation-supply dependency).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-081,Risk,Provider's inadequate copyright compliance exposes the deployer to IP liability,"The provider of a procured model did not adequately ensure lawful training-data sourcing, rights-reservation compliance, or output-infringement mitigation, exposing the deployer to intellectual-property liability for the model's outputs.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic",Both,GPAI Code of Practice 2025 (gap analysis),GPAI Code of Practice 2025,1,,,"GPAI Code of Practice, Copyright Chapter, Commitment 1 (Measures 1.1-1.5)",MR-039 IP and copyright infringement (the deployer-facing outcome; this adds the upstream provider-compliance dependency).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
MR-082,Risk,"Provider's inadequate systemic-risk safety and security management, with no deployer visibility","The provider of a systemic-risk GPAI model does not adequately identify, analyze, and mitigate model-level safety and security risks, evaluate the model, secure its weights, or report incidents, and the deployer has no visibility into whether this was done.",Regulatory compliance,n/a (EU-derived),,"GPAI, Agentic",Both,GPAI Code of Practice 2025 (gap analysis),GPAI Code of Practice 2025,1,,,"GPAI Code of Practice, Safety and Security Chapter, Commitments 1-10",MR-065 Vendor churn / MR-052 Emergent dangerous capabilities / MR-046 Inadequate evaluation (deployer-side; not the provider safety-assurance dependency).,EU AI Act 2024/1689 + GPAI Code of Practice,,,
